,Country,Sector,Industry,Length_of_Business_Summary,Currency
MHLD,Bermuda,Financial Services,Insurance—Reinsurance,657,USD
XP,Cayman Islands,Financial Services,Capital Markets,1666,USD
RNXT,United States,Healthcare,Biotechnology,649,USD
QH,China,Technology,Software—Application,837,USD
LGIH,United States,Consumer Cyclical,Residential Construction,734,USD
STEL,United States,Financial Services,Banks—Regional,1242,USD
FLL,United States,Consumer Cyclical,Resorts & Casinos,795,USD
FI,United States,Technology,Information Technology Services,1991,USD
AYR,,,,0,
ICBK,,,,0,USD
AXS,Bermuda,Financial Services,Insurance—Specialty,1749,USD
VIOT,China,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1174,USD
SCMP,,,,0,
ENFN,United States,Technology,Software—Application,1243,USD
YOU,United States,Technology,Software—Application,1392,USD
VRN,Canada,Energy,Oil & Gas E&P,523,USD
RMBL,United States,Consumer Cyclical,Auto & Truck Dealerships,829,USD
OZON,,,,0,
NAK,Canada,Basic Materials,Other Industrial Metals & Mining,639,USD
BEL,,,,0,
DMTX,,,,0,
BPMP,,,,0,
GNRC,United States,Industrials,Specialty Industrial Machinery,2013,USD
NTCO,,,,0,
KLTR,United States,Technology,Software—Application,1577,USD
EL,United States,Consumer Defensive,Household & Personal Products,1374,USD
IKT,United States,Healthcare,Biotechnology,805,USD
BASE,United States,Technology,Software—Infrastructure,1473,USD
BIOS,,,,0,
UPWK,United States,Communication Services,Internet Content & Information,1134,USD
HOWL,United States,Healthcare,Biotechnology,1120,USD
TKNO,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1045,USD
ELVT,,,,0,
UNVR,,,,0,
CISN,,,,0,
LINC,United States,Consumer Defensive,Education & Training Services,1182,USD
RKT,United States,Financial Services,Mortgage Finance,1408,USD
TOI,United States,Healthcare,Medical Care Facilities,1022,USD
MEDP,United States,Healthcare,Diagnostics & Research,888,USD
BWV,,,,0,
HLS,,,,0,
FRTX,United States,Healthcare,Biotechnology,357,USD
LMRK,,,,0,
ESTA,Costa Rica,Healthcare,Medical Devices,704,USD
SFM,United States,Consumer Defensive,Grocery Stores,584,USD
CART,United States,Consumer Cyclical,Internet Retail,375,USD
HMHC,,,,0,
ITRI,United States,Technology,Scientific & Technical Instruments,1929,USD
WD,United States,Financial Services,Mortgage Finance,1709,USD
GUTS,United States,Healthcare,Biotechnology,842,USD
BOLT,United States,Healthcare,Biotechnology,1012,USD
CEVA,United States,Technology,Semiconductors,1986,USD
ROLL,,,,0,
SLRX,United States,Healthcare,Biotechnology,758,USD
SNCR,United States,Technology,Software—Infrastructure,1762,USD
MCW,United States,Consumer Cyclical,Personal Services,511,USD
PIPR,United States,Financial Services,Capital Markets,1532,USD
MOGO,Canada,Technology,Software—Infrastructure,527,USD
AGTC,,,,0,
KEP,South Korea,Utilities,Utilities—Regulated Electric,1749,USD
CGEM,United States,Healthcare,Biotechnology,1442,USD
ABCB,United States,Financial Services,Banks—Regional,1066,USD
GWB,,,,0,
KMX,United States,Consumer Cyclical,Auto & Truck Dealerships,763,USD
ALLK,United States,Healthcare,Biotechnology,468,USD
MSBI,United States,Financial Services,Banks—Regional,1905,USD
CGON,United States,Healthcare,Biotechnology,1020,USD
AOMR,United States,Real Estate,REIT—Mortgage,614,USD
ECHO,,,,0,
NESR,United States,Energy,Oil & Gas Equipment & Services,1957,USD
NAVG,,,,0,
GTX,Switzerland,Consumer Cyclical,Auto Parts,783,USD
PPBI,United States,Financial Services,Banks—Regional,1404,USD
BIOC,,,,0,USD
DRAD,,,,0,
SSU,,,,0,
SNMP,,,,0,
RXRX,United States,Healthcare,Biotechnology,1111,USD
BKEP,,,,0,
GTES,United States,Industrials,Specialty Industrial Machinery,1435,USD
CPTN,United States,Technology,Scientific & Technical Instruments,1261,USD
HK,,,,0,
HAL,United States,Energy,Oil & Gas Equipment & Services,1930,USD
VSTS,United States,Industrials,Rental & Leasing Services,677,USD
IDEX,United States,Industrials,Farm & Heavy Construction Machinery,830,USD
CINC,,,,0,
MDU,United States,Industrials,Conglomerates,1838,USD
ESRT,United States,Real Estate,REIT—Diversified,732,USD
CSGP,United States,Real Estate,Real Estate Services,1806,USD
FOXF,United States,Consumer Cyclical,Auto Parts,1432,USD
PANL,United States,Industrials,Marine Shipping,593,USD
DCOM,United States,Financial Services,Banks—Regional,1590,USD
IP,United States,Consumer Cyclical,Packaging & Containers,786,USD
NMFC,United States,Financial Services,Asset Management,1551,USD
TOL,United States,Consumer Cyclical,Residential Construction,1205,USD
AMPH,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1960,USD
PBCT,,,,0,
ETR,United States,Utilities,Utilities—Regulated Electric,1063,USD
MNTX,United States,Industrials,Farm & Heavy Construction Machinery,1003,USD
NINE,United States,Energy,Oil & Gas Equipment & Services,1358,USD
MRNS,United States,Healthcare,Biotechnology,1086,USD
NVEC,United States,Technology,Semiconductors,1084,USD
TGA,,,,0,
FE,United States,Utilities,Utilities—Regulated Electric,759,USD
MZOR,,,,0,
CRAI,United States,Industrials,Consulting Services,1518,USD
RAD,,,,0,
SYNA,United States,Technology,Semiconductors,1984,USD
VGR,United States,Consumer Defensive,Tobacco,840,USD
ALLG,Netherlands,Consumer Cyclical,Specialty Retail,1095,USD
OZM,,,,0,
KRNY,United States,Financial Services,Banks—Regional,982,USD
VLON,,,,0,USD
CNVY,,,,0,
KRP,United States,Energy,Oil & Gas E&P,300,USD
FGP,,,,0,
RARX,,,,0,
CIO,Canada,Real Estate,REIT—Office,488,USD
CWT,United States,Utilities,Utilities—Regulated Water,1557,USD
XYL,United States,Industrials,Specialty Industrial Machinery,1930,USD
ZGN,Italy,Consumer Cyclical,Apparel Manufacturing,963,USD
CIXX,,,,0,
DXPE,United States,Industrials,Industrial Distribution,1682,USD
CCNE,United States,Financial Services,Banks—Regional,1021,USD
ONTO,United States,Technology,Semiconductor Equipment & Materials,1176,USD
OM,United States,Healthcare,Medical Devices,850,USD
SOWG,United States,Consumer Defensive,Packaged Foods,499,USD
YI,China,Healthcare,Medical Distribution,1671,USD
ACRE,United States,Real Estate,REIT—Mortgage,732,USD
TSQ,United States,Communication Services,Advertising Agencies,1458,USD
REV,,,,0,
UCTT,United States,Technology,Semiconductor Equipment & Materials,1949,USD
OFIX,United States,Healthcare,Medical Devices,1846,USD
ACN,Ireland,Technology,Information Technology Services,1992,USD
AM,United States,Energy,Oil & Gas Midstream,731,USD
LPSN,United States,Technology,Software—Application,1162,USD
FIVN,United States,Technology,Software—Infrastructure,1208,USD
NPO,United States,Industrials,Specialty Industrial Machinery,1484,USD
HI,United States,Industrials,Specialty Industrial Machinery,1177,USD
AB,United States,Financial Services,Asset Management,886,USD
CLGX,,,,0,
CRWS,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",984,USD
DVAX,United States,Healthcare,Drug Manufacturers—Specialty & Generic,928,USD
EDU,China,Consumer Defensive,Education & Training Services,1716,USD
LIAN,United States,Healthcare,Biotechnology,1176,USD
ADS,,,,0,
MIRM,United States,Healthcare,Biotechnology,1312,USD
FSBC,United States,Financial Services,Banks—Regional,876,USD
CBMG,,,,0,
PGEN,United States,Healthcare,Biotechnology,1862,USD
RYAAY,Ireland,Industrials,Airlines,804,USD
ETN,Ireland,Industrials,Specialty Industrial Machinery,1908,USD
MDGS,,,,0,
SAUC,,,,0,
DAVE,United States,Technology,Software—Application,720,USD
CEQP,,,,0,
ICLK,Hong Kong,Communication Services,Advertising Agencies,1713,USD
RCOR,,,,0,
FORD,United States,Consumer Cyclical,Footwear & Accessories,834,USD
TOWN,United States,Financial Services,Banks—Regional,1985,USD
RERE,China,Consumer Cyclical,Internet Retail,664,USD
ENJY,,,,0,USD
IIIN,United States,Industrials,Metal Fabrication,1552,USD
NM,,,,0,
CAA,,,,0,
CTRV,,,,0,
ABR,United States,Real Estate,REIT—Mortgage,1628,USD
FATE,United States,Healthcare,Biotechnology,777,USD
GEVO,United States,Basic Materials,Specialty Chemicals,597,USD
SBBX,,,,0,
AMLX,United States,Healthcare,Biotechnology,608,USD
OMED,,,,0,
BRX,United States,Real Estate,REIT—Retail,628,USD
IRWD,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1370,USD
EPD,United States,Energy,Oil & Gas Midstream,1934,USD
SEDG,Israel,Technology,Solar,1977,USD
ORGS,United States,Healthcare,Biotechnology,1076,USD
ABG,United States,Consumer Cyclical,Auto & Truck Dealerships,673,USD
GCI,United States,Communication Services,Publishing,1150,USD
TPH,United States,Consumer Cyclical,Residential Construction,962,USD
ALEC,United States,Healthcare,Biotechnology,1060,USD
FUTU,Hong Kong,Financial Services,Capital Markets,912,USD
CBOE,United States,Financial Services,Financial Data & Stock Exchanges,1485,USD
SF,United States,Financial Services,Capital Markets,1022,USD
XFOR,United States,Healthcare,Biotechnology,1030,USD
AAL,United States,Industrials,Airlines,663,USD
MYOV,,,,0,
MNR,United States,Energy,Oil & Gas E&P,457,USD
WPX,,,,0,
CREE,,,,0,
ZION,United States,Financial Services,Banks—Regional,1935,USD
IMXI,United States,Technology,Software—Infrastructure,661,USD
TUEM,,,,0,
SGHT,United States,Healthcare,Medical Devices,989,USD
STRY,,,,0,
LFUS,United States,Technology,Electronic Components,1973,USD
GKOS,United States,Healthcare,Medical Devices,949,USD
ATEX,United States,Communication Services,Telecom Services,620,USD
CONN,United States,Consumer Cyclical,Specialty Retail,1246,USD
NTNX,United States,Technology,Software—Infrastructure,1938,USD
ZUO,United States,Technology,Software—Infrastructure,1152,USD
VECT,,,,0,
SHIP,Greece,Industrials,Marine Shipping,491,USD
CADL,United States,Healthcare,Biotechnology,1004,USD
CDRE,United States,Industrials,Aerospace & Defense,1510,USD
NVCN,,,,0,
ELS,United States,Real Estate,REIT—Residential,240,USD
OXM,United States,Consumer Cyclical,Apparel Manufacturing,1365,USD
SONN,United States,Healthcare,Biotechnology,1127,USD
SPSC,United States,Technology,Software—Infrastructure,1629,USD
ACIC,United States,Financial Services,Insurance—Property & Casualty,992,USD
AVTE,United States,Healthcare,Biotechnology,431,USD
ATH,,,,0,
VIAB,,,,0,
QSR,Canada,Consumer Cyclical,Restaurants,1246,USD
LXFT,,,,0,
FLT,,,,0,
DIN,United States,Consumer Cyclical,Restaurants,1198,USD
MX,South Korea,Technology,Semiconductors,1631,USD
TGS,Argentina,Energy,Oil & Gas Integrated,1682,USD
ATCX,,,,0,USD
XBIT,United States,Healthcare,Biotechnology,605,USD
VTAK,United States,Healthcare,Medical Devices,824,USD
FOGO,,,,0,
WPZ,,,,0,
WABC,United States,Financial Services,Banks—Regional,693,USD
NVCT,United States,Healthcare,Biotechnology,895,USD
ASCMA,,,,0,
CFLT,United States,Technology,Software—Infrastructure,1666,USD
LMFA,United States,Financial Services,Credit Services,343,USD
DYNT,United States,Healthcare,Medical Devices,1594,USD
ASM,Canada,Basic Materials,Other Precious Metals & Mining,1002,USD
ROST,United States,Consumer Cyclical,Apparel Retail,594,USD
DRQ,United States,Energy,Oil & Gas Equipment & Services,1885,USD
DHR,United States,Healthcare,Diagnostics & Research,1855,USD
AZN,United Kingdom,Healthcare,Drug Manufacturers—General,1211,USD
OAKS,,,,0,
XNCR,United States,Healthcare,Biotechnology,1853,USD
PLUG,United States,Industrials,Electrical Equipment & Parts,1597,USD
ELV,United States,Healthcare,Healthcare Plans,1594,USD
RCI,Canada,Communication Services,Telecom Services,1987,USD
ALE,United States,Utilities,Utilities—Diversified,1418,USD
FII,,,,0,
SLGN,United States,Consumer Cyclical,Packaging & Containers,1611,USD
AKS,,,,0,
FMX,Mexico,Consumer Defensive,Beverages—Brewers,1413,USD
NEPH,United States,Healthcare,Medical Instruments & Supplies,899,USD
XOXO,,,,0,
CLBT,Israel,Technology,Software—Infrastructure,1560,USD
ALPN,United States,Healthcare,Biotechnology,993,USD
ARA,,,,0,
HCM,Hong Kong,Healthcare,Drug Manufacturers—Specialty & Generic,1870,USD
CLFD,United States,Technology,Communication Equipment,1357,USD
HF,,,,0,
CLRB,United States,Healthcare,Biotechnology,978,USD
SOLO,,,,0,
COHR,United States,Technology,Scientific & Technical Instruments,1727,USD
OBDC,United States,Financial Services,Credit Services,998,USD
ZGNX,,,,0,
SWIM,United States,Industrials,Building Products & Equipment,557,USD
JANX,United States,Healthcare,Biotechnology,1081,USD
HLX,United States,Energy,Oil & Gas Equipment & Services,1955,USD
ARHS,United States,Consumer Cyclical,Home Improvement Retail,1271,USD
SLQT,United States,Financial Services,Insurance Brokers,1262,USD
PTON,United States,Consumer Cyclical,Leisure,526,USD
AREC,United States,Basic Materials,Coking Coal,317,USD
LNN,United States,Industrials,Farm & Heavy Construction Machinery,1844,USD
OTEX,Canada,Technology,Software—Application,1983,USD
TECK,Canada,Basic Materials,Other Industrial Metals & Mining,656,USD
LTS,,,,0,
MYND,China,Consumer Defensive,Education & Training Services,768,USD
ATHN,,,,0,
HIMX,Taiwan,Technology,Semiconductors,1391,USD
CMD,,,,0,
BKR,United States,Energy,Oil & Gas Equipment & Services,1953,USD
APDN,United States,Healthcare,Diagnostics & Research,1782,USD
TSBX,United States,Healthcare,Biotechnology,630,USD
UFPT,United States,Healthcare,Medical Devices,1390,USD
VRRM,United States,Industrials,Infrastructure Operations,1135,USD
INFY,India,Technology,Information Technology Services,1785,USD
ETP,,,,0,
ENFC,,,,0,
MDR,,,,0,
OA,,,,0,
CTXS,,,,0,
GBCI,United States,Financial Services,Banks—Regional,1358,USD
LECO,United States,Industrials,Tools & Accessories,1694,USD
DXLG,United States,Consumer Cyclical,Apparel Retail,809,USD
TRML,United States,Healthcare,Biotechnology,720,USD
BXRX,,,,0,
UI,United States,Technology,Communication Equipment,1931,USD
MRK,United States,Healthcare,Drug Manufacturers—General,1870,USD
ZOES,,,,0,
POWI,United States,Technology,Semiconductors,1765,USD
SXTP,United States,Healthcare,Biotechnology,658,USD
LFWD,Israel,Healthcare,Medical Devices,991,USD
PHR,United States,Healthcare,Health Information Services,1100,USD
GMRE,United States,Real Estate,REIT—Healthcare Facilities,236,USD
ECL,United States,Basic Materials,Specialty Chemicals,1952,USD
CGC,Canada,Healthcare,Drug Manufacturers—Specialty & Generic,925,USD
ENPH,United States,Technology,Solar,1011,USD
BMTX,United States,Technology,Software—Application,500,USD
CPSI,,,,0,
EDIT,United States,Healthcare,Biotechnology,1167,USD
TREE,United States,Financial Services,Financial Conglomerates,1419,USD
BCML,United States,Financial Services,Banks—Regional,1552,USD
VERU,United States,Healthcare,Biotechnology,1030,USD
BBL,,,,0,
CPST,,,,0,
SIX,United States,Consumer Cyclical,Leisure,720,USD
SSP,United States,Communication Services,Broadcasting,1752,USD
MON,,,,0,
CBUS,United States,Healthcare,Biotechnology,532,USD
VBLT,,,,0,
AGIL,,,,0,
AMGN,United States,Healthcare,Drug Manufacturers—General,1974,USD
AZEK,United States,Industrials,Building Products & Equipment,1162,USD
SKYW,United States,Industrials,Airlines,688,USD
SRGA,,,,0,USD
ZAGG,,,,0,
WFRD,United States,Energy,Oil & Gas Equipment & Services,1994,USD
DDS,United States,Consumer Cyclical,Department Stores,438,USD
FDC,,,,0,
DNA,United States,Healthcare,Biotechnology,544,USD
DLR,United States,Real Estate,REIT—Specialty,605,USD
CSLT,,,,0,
TGI,United States,Industrials,Aerospace & Defense,1126,USD
TWOU,United States,Consumer Defensive,Education & Training Services,1178,USD
SDPI,United States,Energy,Oil & Gas Equipment & Services,809,USD
TEL,Switzerland,Technology,Electronic Components,1364,USD
EAR,,,,0,
LMB,United States,Industrials,Building Products & Equipment,1241,USD
NUVL,United States,Healthcare,Biotechnology,1299,USD
ARCC,United States,Financial Services,Asset Management,1584,USD
LFC,,,,0,
GPN,United States,Industrials,Specialty Business Services,1327,USD
MGPI,United States,Consumer Defensive,Beverages—Wineries & Distilleries,1682,USD
PB,United States,Financial Services,Banks—Regional,1123,USD
BLCM,,,,0,
TCRD,,,,0,
GO,United States,Consumer Defensive,Grocery Stores,453,USD
YUM,United States,Consumer Cyclical,Restaurants,713,USD
KMDA,Israel,Healthcare,Drug Manufacturers—Specialty & Generic,2000,USD
HOFT,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2139,USD
PNM,United States,Utilities,Utilities—Regulated Electric,985,USD
ELAN,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1154,USD
SGMO,United States,Healthcare,Biotechnology,1659,USD
UFCS,United States,Financial Services,Insurance—Property & Casualty,776,USD
PFNX,,,,0,
MTCH,United States,Communication Services,Internet Content & Information,419,USD
ACER,,,,0,
VSCO,United States,Consumer Cyclical,Apparel Retail,693,USD
LIVN,United Kingdom,Healthcare,Medical Devices,1128,USD
SYNC,,,,0,
TARO,Israel,Healthcare,Drug Manufacturers—Specialty & Generic,1657,USD
SBPH,,,,0,
SOVO,,,,0,
HPE,United States,Technology,Communication Equipment,1990,USD
HCAP,,,,0,
ES,United States,Utilities,Utilities—Regulated Electric,817,USD
LEE,United States,Communication Services,Publishing,959,USD
SEV,,,,0,USD
ENTG,United States,Technology,Semiconductor Equipment & Materials,1937,USD
PSHG,Greece,Industrials,Marine Shipping,301,USD
DDI,South Korea,Communication Services,Electronic Gaming & Multimedia,724,USD
HLT,United States,Consumer Cyclical,Lodging,1189,USD
MBOT,United States,Healthcare,Medical Instruments & Supplies,890,USD
SCHL,United States,Communication Services,Publishing,1903,USD
ASPS,Luxembourg,Real Estate,Real Estate Services,1934,USD
KELYA,United States,Industrials,Staffing & Employment Services,1462,USD
SNPO,United States,Technology,Electronics & Computer Distribution,1277,USD
CNNX,,,,0,
KOD,United States,Healthcare,Biotechnology,1057,USD
CTXR,United States,Healthcare,Biotechnology,872,USD
ENLV,Israel,Healthcare,Biotechnology,502,USD
KRO,United States,Basic Materials,Specialty Chemicals,1323,USD
MRCY,United States,Industrials,Aerospace & Defense,1438,USD
NAP,,,,0,
COCH,United States,Healthcare,Medical Devices,686,USD
ANTM,,,,0,
DATA,,,,0,
RDHL,Israel,Healthcare,Drug Manufacturers—Specialty & Generic,1062,USD
FOUR,United States,Technology,Software—Infrastructure,1996,USD
AMCR,Switzerland,Consumer Cyclical,Packaging & Containers,832,USD
AXSM,United States,Healthcare,Biotechnology,1539,USD
PHH,,,,0,
TELA,United States,Healthcare,Medical Devices,886,USD
VRDN,United States,Healthcare,Biotechnology,879,USD
RENT,United States,Consumer Cyclical,Apparel Retail,469,USD
MVC,,,,0,
SIDU,United States,Industrials,Aerospace & Defense,1201,USD
ALLR,United States,Healthcare,Biotechnology,1030,USD
OBDE,,,,0,USD
CHFS,,,,0,
RVTY,United States,Healthcare,Diagnostics & Research,1991,USD
VERV,United States,Healthcare,Biotechnology,983,USD
MTN,United States,Consumer Cyclical,Resorts & Casinos,958,USD
EOLS,United States,Healthcare,Drug Manufacturers—Specialty & Generic,654,USD
GHLD,United States,Financial Services,Mortgage Finance,338,USD
KTOS,United States,Industrials,Aerospace & Defense,1243,USD
TBBK,United States,Financial Services,Banks—Regional,951,USD
CWK,United Kingdom,Real Estate,Real Estate Services,1557,USD
SEEL,United States,Healthcare,Biotechnology,757,USD
ON,United States,Technology,Semiconductors,1302,USD
SKYS,,,,0,
TPG,United States,Financial Services,Asset Management,635,USD
EBAY,United States,Consumer Cyclical,Internet Retail,470,USD
NEWR,,,,0,
MT,Luxembourg,Basic Materials,Steel,1140,USD
KNW,United States,Technology,Scientific & Technical Instruments,591,USD
REPX,United States,Energy,Oil & Gas E&P,507,USD
ICAD,United States,Healthcare,Medical Devices,513,USD
ASTS,United States,Technology,Communication Equipment,357,USD
CACI,United States,Technology,Information Technology Services,1525,USD
WMC,,,,0,
SRDX,United States,Healthcare,Medical Devices,1271,USD
REZI,United States,Industrials,Industrial Distribution,1518,USD
CXRX,,,,0,
OMP,,,,0,
PLXP,,,,0,
CSL,United States,Industrials,Building Products & Equipment,1267,USD
EQGP,,,,0,
DVA,United States,Healthcare,Medical Care Facilities,1113,USD
CSR,United States,Real Estate,REIT—Residential,394,USD
MRBK,United States,Financial Services,Banks—Regional,1083,USD
XHR,United States,Real Estate,REIT—Hotel & Motel,545,USD
COMM,United States,Technology,Communication Equipment,1843,USD
ECOL,,,,0,
TI,,,,0,
WYN,,,,0,
CBT,United States,Basic Materials,Specialty Chemicals,1543,USD
CAG,United States,Consumer Defensive,Packaged Foods,1108,USD
IONM,United States,Healthcare,Medical Care Facilities,679,USD
PRDO,United States,Consumer Defensive,Education & Training Services,1136,USD
SHW,United States,Basic Materials,Specialty Chemicals,1565,USD
VECO,United States,Technology,Semiconductor Equipment & Materials,1203,USD
APR,,,,0,
PRKR,United States,Technology,Semiconductors,219,USD
RMBS,United States,Technology,Semiconductors,936,USD
HOV,United States,Consumer Cyclical,Residential Construction,670,USD
DTSS,China,Technology,Software—Infrastructure,682,USD
HL,United States,Basic Materials,Other Precious Metals & Mining,558,USD
MSM,United States,Industrials,Industrial Distribution,1027,USD
RBA,United States,Industrials,Specialty Business Services,1678,USD
ESIO,,,,0,
APD,United States,Basic Materials,Specialty Chemicals,793,USD
OFC,,,,0,
WW,United States,Consumer Cyclical,Personal Services,988,USD
WEN,United States,Consumer Cyclical,Restaurants,627,USD
VTYX,United States,Healthcare,Biotechnology,793,USD
GFED,,,,0,
PCLN,,,,0,
OLK,Sweden,Healthcare,Diagnostics & Research,1628,USD
CNS,United States,Financial Services,Asset Management,1267,USD
DRD,South Africa,Basic Materials,Gold,560,USD
TFSL,United States,Financial Services,Banks—Regional,933,USD
TCOM,Singapore,Consumer Cyclical,Travel Services,1959,USD
AAXN,,,,0,
STAY,,,,0,
OBE,Canada,Energy,Oil & Gas E&P,309,USD
SBBP,,,,0,
CPRI,United Kingdom,Consumer Cyclical,Luxury Goods,947,USD
GOV,,,,0,
PRE,Hong Kong,Healthcare,Diagnostics & Research,943,USD
ADEA,United States,Technology,Software—Application,1439,USD
PRTH,United States,Technology,Software—Infrastructure,1888,USD
XM,,,,0,
CAVM,,,,0,
ZSAN,,,,0,
KRMD,United States,Healthcare,Medical Instruments & Supplies,614,USD
ECPG,United States,Financial Services,Mortgage Finance,800,USD
LADR,United States,Real Estate,REIT—Mortgage,1348,USD
HTZ,United States,Industrials,Rental & Leasing Services,563,USD
INSG,United States,Technology,Communication Equipment,1006,USD
TSHA,United States,Healthcare,Biotechnology,875,USD
ICD,United States,Energy,Oil & Gas Drilling,329,USD
JLL,United States,Real Estate,Real Estate Services,1900,USD
SRC,,,,0,
SWKS,United States,Technology,Semiconductors,1283,USD
REPH,,,,0,
BOJA,,,,0,
BAS,,,,0,
EXA,,,,0,
MDWT,,,,0,
RDFN,United States,Real Estate,Real Estate Services,643,USD
KOP,United States,Basic Materials,Specialty Chemicals,1864,USD
TCRT,United States,Healthcare,Biotechnology,699,USD
BPTS,,,,0,
LMAT,United States,Healthcare,Medical Instruments & Supplies,1979,USD
WTS,United States,Industrials,Specialty Industrial Machinery,1940,USD
KREF,United States,Real Estate,REIT—Mortgage,651,USD
QSI,United States,Healthcare,Medical Devices,590,USD
TRI,Canada,Industrials,Specialty Business Services,1495,USD
PDVW,,,,0,
AUMN,United States,Basic Materials,Other Precious Metals & Mining,407,USD
YMM,China,Technology,Software—Application,650,USD
LLY,United States,Healthcare,Drug Manufacturers—General,1472,USD
NTUS,,,,0,
AMPS,United States,Utilities,Utilities—Renewable,347,USD
UQM,,,,0,
SBOW,United States,Energy,Oil & Gas E&P,408,USD
BLIN,United States,Technology,Software—Infrastructure,1678,USD
NPCE,United States,Healthcare,Medical Devices,770,USD
AUTL,United Kingdom,Healthcare,Biotechnology,998,USD
ACEL,United States,Consumer Cyclical,Gambling,794,USD
FSFG,United States,Financial Services,Banks—Regional,1140,USD
PAGS,Brazil,Technology,Software—Infrastructure,1508,USD
BHIL,United States,Basic Materials,Agricultural Inputs,758,USD
EROS,,,,0,
AJRD,,,,0,
CASC,,,,0,
CARG,United States,Consumer Cyclical,Auto & Truck Dealerships,1032,USD
LMST,,,,0,
PLT,,,,0,
PFBC,United States,Financial Services,Banks—Regional,1488,USD
EBS,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1971,USD
MIC,,,,0,
SYMC,,,,0,
RPTX,Canada,Healthcare,Biotechnology,1742,USD
WEBR,,,,0,
TTM,,,,0,
IMRN,Australia,Healthcare,Biotechnology,1266,USD
HCCI,,,,0,
HON,United States,Industrials,Conglomerates,1935,USD
INVA,United States,Healthcare,Biotechnology,1459,USD
ONB,United States,Financial Services,Banks—Regional,1105,USD
GTT,,,,0,
EBIO,,,,0,
TALK,United States,Healthcare,Health Information Services,816,USD
HTM,,,,0,
LVOX,,,,0,
MPAA,United States,Consumer Cyclical,Auto Parts,1160,USD
CVBF,United States,Financial Services,Banks—Regional,1498,USD
RPM,United States,Basic Materials,Specialty Chemicals,1999,USD
ALDX,United States,Healthcare,Biotechnology,930,USD
DG,United States,Consumer Defensive,Discount Stores,1734,USD
FTD,,,,0,
KA,United States,Healthcare,Biotechnology,990,USD
LITE,United States,Technology,Communication Equipment,1815,USD
OAK,,,,0,
TCX,Canada,Technology,Software—Infrastructure,802,USD
BCYC,United Kingdom,Healthcare,Biotechnology,1639,USD
HEES,United States,Industrials,Rental & Leasing Services,1469,USD
OSB,,,,0,
DT,United States,Technology,Software—Application,1052,USD
SPTN,United States,Consumer Defensive,Food Distribution,1199,USD
NUVB,United States,Healthcare,Biotechnology,870,USD
OPGN,United States,Healthcare,Medical Devices,544,USD
PEGI,,,,0,
ECC,United States,Financial Services,Asset Management,428,USD
BBGI,United States,Communication Services,Broadcasting,465,USD
ATVI,,,,0,
MDSO,,,,0,
PAX,Cayman Islands,Financial Services,Asset Management,426,USD
CHPT,United States,Consumer Cyclical,Specialty Retail,593,USD
RETA,,,,0,
BAX,United States,Healthcare,Medical Instruments & Supplies,1798,USD
FBHS,,,,0,
GTLB,United States,Technology,Software—Infrastructure,680,USD
WOW,United States,Communication Services,Telecom Services,1114,USD
IDCC,United States,Technology,Software—Application,1657,USD
CCLP,,,,0,
Y,,,,0,
CNI,Canada,Industrials,Railroads,1164,USD
PHIO,United States,Healthcare,Biotechnology,913,USD
SNDL,Canada,Consumer Defensive,Beverages—Wineries & Distilleries,855,USD
BTAI,United States,Healthcare,Biotechnology,1421,USD
EE,United States,Energy,Oil & Gas Midstream,526,USD
MLYS,United States,Healthcare,Biotechnology,586,USD
MTBC,,,,0,
HP,United States,Energy,Oil & Gas Drilling,1102,USD
BKE,United States,Consumer Cyclical,Apparel Retail,1162,USD
EQRX,,,,0,
MEET,,,,0,
HSBC,United Kingdom,Financial Services,Banks—Diversified,1458,USD
OEG,,,,0,
SONA,,,,0,
IDN,United States,Technology,Software—Application,1937,USD
CHEK,Israel,Healthcare,Diagnostics & Research,713,USD
INMB,United States,Healthcare,Biotechnology,954,USD
LAIX,,,,0,
AFRM,United States,Technology,Software—Infrastructure,897,USD
KORE,United States,Communication Services,Telecom Services,688,USD
PLXS,United States,Technology,Electronic Components,422,USD
WTM,Bermuda,Financial Services,Insurance—Property & Casualty,1305,USD
AIN,United States,Consumer Cyclical,Textile Manufacturing,999,USD
ROOT,United States,Financial Services,Insurance—Property & Casualty,496,USD
ISDR,United States,Technology,Software—Application,1791,USD
FXLV,United States,Consumer Cyclical,Leisure,625,USD
PRK,United States,Financial Services,Banks—Regional,1380,USD
PFHC,,,,0,
CTGO,United States,Basic Materials,Gold,276,USD
FDS,United States,Financial Services,Financial Data & Stock Exchanges,619,USD
ATOS,United States,Healthcare,Biotechnology,656,USD
ACTG,United States,Industrials,Business Equipment & Supplies,1237,USD
APLT,United States,Healthcare,Biotechnology,1080,USD
ERYP,,,,0,
NYRT,,,,0,
ENDP,,,,0,USD
AUDC,Israel,Technology,Communication Equipment,1886,USD
WEX,United States,Technology,Software—Infrastructure,1714,USD
CYAD,,,,0,
